序号,转换后JH,JX,dy➗dx
1885,B16-X32,0.23,0.00239726
1886,B16-X32,0.31,0.002837886
1887,B16-X32,1.62,0.07115698
1888,B16-X32,2.59,0.104978355
1889,B16-X32,6.15,0.129266521
1890,B16-X32,9.4,0.117796303
1891,B16-X32,11.34,0.07082877
1892,B16-X32,12.02,0.074807481
1893,B16-X32,12.73,0.077936334
1894,B16-X32,13.36,0.06870229
1895,B16-X32,14.13,0.082352941
1896,B16-X32,14.86,0.076359833
1897,B16-X32,15.47,0.063343718
1898,B16-X32,16.18,0.074736842
1899,B16-X32,16.81,0.066737288
1900,B16-X32,17.53,0.075550892
1901,B16-X32,18.12,0.062433862
1902,B16-X32,18.63,0.053069719
1903,B16-X32,19.07,0.045881126
1904,B16-X32,19.81,0.077731092
1905,B16-X32,20.82,0.105427975
1906,B16-X32,21.8,0.102403344
1907,B16-X32,23.01,0.125649013
1908,B16-X32,24.16,0.119667014
1909,B16-X32,25.43,0.132154006
1910,B16-X32,26.64,0.126701571
1911,B16-X32,27.84,0.125523013
1912,B16-X32,29.12,0.133611691
1913,B16-X32,30.21,0.115221987
1914,B16-X32,31.47,0.130165289
1915,B16-X32,32.64,0.12407211
1916,B16-X32,33.9,0.131113424
1917,B16-X32,35.12,0.126293996
1918,B16-X32,36.36,0.128898129
1919,B16-X32,37.55,0.124346917
1920,B16-X32,38.83,0.132231405
1921,B16-X32,40.01,0.122661123
1922,B16-X32,41.22,0.12710084
1923,B16-X32,42.45,0.127593361
1924,B16-X32,43.6,0.120925342
1925,B16-X32,44.53,0.096573209
1926,B16-X32,45.46,0.096473029
1927,B16-X32,46.41,0.100956429
1928,B16-X32,47.64,0.049160671
1929,B16-X32,46.98,-0.030841121
1930,B16-X32,46.23,-0.026260504
1931,B16-X32,46.19,-0.001397624
1932,B16-X32,46.17,-0.000697593
1933,B16-X32,46.14,-0.001041667
1934,B16-X32,45.89,-0.008689607
1935,B16-X32,45.65,-0.008382815
1936,B16-X32,45.4,-0.008686588
1937,B16-X32,45.86,0.016022292
1938,B16-X32,46.45,0.020536025
1939,B16-X32,46.72,0.009378256
1940,B16-X32,46.98,0.009065551
1941,B16-X32,46.96,-0.00070028
1942,B16-X32,46.92,-0.001384562
1943,B16-X32,46.89,-0.001036269
1944,B16-X32,46.92,0.001046025
1945,B16-X32,46.95,0.001049685
1946,B16-X32,46.98,0.001041667
1947,B16-X32,46.98,0
1948,B16-X32,47.75,0.027017544
1949,B16-X32,48.63,0.030736989
1950,B16-X32,49.57,0.032729805
1951,B16-X32,49.39,-0.006232687
1952,B16-X32,47.5,-0.066130161
1953,B16-X32,47.22,-0.009852217
1954,B16-X32,46.93,-0.010186161
1955,B16-X32,46.83,-0.003467406
1956,B16-X32,46.71,-0.00418702
1957,B16-X32,46.52,-0.006583507
1958,B16-X32,46.36,-0.005574913
1959,B16-X32,47.38,0.035701785
1960,B16-X32,47.42,0.001343183
1961,B16-X32,47.84,0.014649459
1962,B16-X32,48.34,0.017385257
1963,B16-X32,50.14,0.062981106
1964,B16-X32,48.52,-0.056406685
1965,B16-X32,48.38,-0.004874652
1966,B16-X32,48.69,0.010842952
1967,B16-X32,47.33,-0.04750262
1968,B16-X32,48.2,0.030590717
1969,B16-X32,49.04,0.029136316
1970,B16-X32,47.71,-0.045862069
1971,B16-X32,46.63,-0.037643778
1972,B16-X32,48.05,0.04940849
1973,B16-X32,49.44,0.048280653
1974,B16-X32,48.03,-0.049300699
1975,B16-X32,47.11,-0.032122905
1976,B16-X32,49.43,0.081147254
1977,B16-X32,51.77,0.081221798
1978,B16-X32,50.23,-0.053583855
1979,B16-X32,48.4,-0.063475546
1980,B16-X32,47.37,-0.054153523
1981,B16-X32,46.41,-0.033402923
1982,B16-X32,45.75,-0.023004531
1983,B16-X32,44.96,-0.027307293
1984,B16-X32,45.31,0.01216968
1985,B16-X32,46.71,0.048951049
1986,B16-X32,47.33,0.02140145
1987,B16-X32,47.86,0.018370884
1988,B16-X32,47.33,-0.018550928
1989,B16-X32,47.29,-0.001387444
1990,B16-X32,47.81,0.018086957
1991,B16-X32,50.02,0.076789437
1992,B16-X32,50.32,0.010500525
1993,B16-X32,50.67,0.012203626
1994,B16-X32,50.98,0.01074896
1995,B16-X32,51.06,0.002774887
1996,B16-X32,51.5,0.015272475
1997,B16-X32,51.99,0.01703163
1998,B16-X32,52.73,0.025605536
1999,B16-X32,52.21,-0.018258427
2000,B16-X32,49.97,-0.077777778
2001,B16-X32,49.66,-0.010730357
2002,B16-X32,49.66,0
2003,B16-X32,49.66,0
2004,B16-X32,49.6,-0.002096436
2005,B16-X32,49.22,-0.013263525
2006,B16-X32,48.95,-0.009365245
2007,B16-X32,48.65,-0.010413051
2008,B16-X32,48.65,0
2009,B16-X32,48.65,0
2010,B16-X32,48.62,-0.001041305
2011,B16-X32,48.6,-0.000699301
2012,B16-X32,48.27,-0.011442441
2013,B16-X32,48.03,-0.008424008
2014,B16-X32,47.52,-0.017683773
2015,B16-X32,47.15,-0.012869565
2016,B16-X32,47.48,0.011402903
2017,B16-X32,47.72,0.009995835
2018,B16-X32,47.77,0.010638298
2019,B16-X32,48.26,0.017144857
2020,B16-X32,48.75,0.017114914
2021,B16-X32,49.21,0.016106443
2022,B16-X32,49.63,0.014588399
2023,B16-X32,49.72,0.005451242
2024,B16-X32,49.72,0
4480,B64-X48,0.7,
4481,B64-X48,0.36,-0.017754569
4482,B64-X48,0.53,0.00595864
4483,B64-X48,0.35,-0.006267409
4484,B64-X48,0.1,-0.008674532
4485,B64-X48,0.22,0.004217926
4486,B64-X48,1.1,0.030534351
4487,B64-X48,0.8,-0.010485844
4488,B64-X48,0.7,-0.003507541
4489,B64-X48,0.7,0
4490,B64-X48,0.79,0.00315568
4491,B64-X48,0.88,0.003133705
4492,B64-X48,0.72,-0.005677786
4493,B64-X48,0.57,-0.005192108
4494,B64-X48,0.68,0.00381547
4495,B64-X48,0.79,0.003827418
4496,B64-X48,0.85,0.00209278
4497,B64-X48,0.92,0.002430556
4498,B64-X48,0.98,0.002088409
4499,B64-X48,1.05,0.002413793
4500,B64-X48,1.04,-0.000347102
4501,B64-X48,1.05,0.000346141
4502,B64-X48,0.4,-0.022632312
4503,B64-X48,0.41,0.000348675
4504,B64-X48,0.44,0.001045661
4505,B64-X48,0.31,-0.004517026
4506,B64-X48,0.22,-0.003138075
4507,B64-X48,0.21,-0.00035014
4508,B64-X48,0.22,0.000348554
4509,B64-X48,0.31,0.003127172
4510,B64-X48,0.4,0.003147954
4511,B64-X48,0.41,0.00034662
4512,B64-X48,0.44,0.001048218
4513,B64-X48,0.53,0.003127172
4514,B64-X48,0.63,0.003481894
4515,B64-X48,0.72,0.00311311
4516,B64-X48,0.79,0.002433936
4517,B64-X48,0.78,-0.00034626
4518,B64-X48,1.32,0.018743492
4519,B64-X48,2.68,0.141666667
4520,B64-X48,5.33,0.138743455
4521,B64-X48,9.67,0.151377747
4522,B64-X48,14.15,0.156369983
4523,B64-X48,18.81,0.161693269
4524,B64-X48,21.5,0.093565217
4525,B64-X48,22.1,0.020898642
4526,B64-X48,23,0.031501575
4527,B64-X48,24.7,0.059109875
4528,B64-X48,25.2,0.017307027
4529,B64-X48,27.25,0.071728481
4530,B64-X48,27.86,0.020969405
4531,B64-X48,28.74,0.030812325
4532,B64-X48,29.53,0.02741152
4533,B64-X48,30.76,0.042901988
4534,B64-X48,30.4,-0.012539185
4535,B64-X48,30.7,0.010413051
4536,B64-X48,31.38,0.02364395
4537,B64-X48,31.6,0.007617729
4538,B64-X48,31.6,0
4539,B64-X48,31.6,0
4540,B64-X48,31.64,0.001392758
4541,B64-X48,31.68,0.001383604
4542,B64-X48,31.82,0.004867872
4543,B64-X48,32.3,0.016620499
4544,B64-X48,32.43,0.004512322
4545,B64-X48,32.7,0.009407666
4546,B64-X48,32.98,0.009783368
4547,B64-X48,33.4,0.014593468
4548,B64-X48,34.04,0.022284123
4549,B64-X48,34.68,0.022206801
4550,B64-X48,35.78,0.038367632
4551,B64-X48,36.8,0.03554007
4552,B64-X48,38.16,0.046896552
4553,B64-X48,38.76,0.020884093
4554,B64-X48,39.36,0.020949721
4555,B64-X48,39.76,0.013961606
4556,B64-X48,39.8,0.003824092
5804,B64-X63,0,
5805,B64-X63,0.2,0.012430081
5806,B64-X63,0.2,0
5807,B64-X63,0.18,-0.00069979
5808,B64-X63,0.12,-0.002089864
5809,B64-X63,0.25,0.004556607
5810,B64-X63,0.31,0.002098636
5811,B64-X63,0.4,0.003151261
5812,B64-X63,0.57,0.007932804
5813,B64-X63,0.7,0.004523312
5814,B64-X63,0.75,0.001737318
5815,B64-X63,0.8,0.001739736
5816,B64-X63,0.8,0
5817,B64-X63,0.8,0
5818,B64-X63,0.9,0.003484321
5819,B64-X63,1,0.003474635
5820,B64-X63,1,0
5821,B64-X63,0.9,-0.003474635
5822,B64-X63,0.8,-0.003478261
5823,B64-X63,0.7,-0.003475843
5824,B64-X63,0.7,0
5825,B64-X63,0.8,0.003480682
5826,B64-X63,0.7,-0.003485535
5827,B64-X63,0.8,0.003480682
5828,B64-X63,0.6,-0.006966214
5829,B64-X63,0.8,0.006958942
5830,B64-X63,0.5,-0.010445682
5831,B64-X63,0.7,0.00694927
5832,B64-X63,0.6,-0.003484321
5833,B64-X63,0.5,-0.003483107
5834,B64-X63,0.4,-0.003480682
5835,B64-X63,0.5,0.003472222
5836,B64-X63,0.8,0.010438413
5837,B64-X63,1,0.006961364
5838,B64-X63,1,0
5839,B64-X63,0.7,-0.010449321
5840,B64-X63,0.7,0
5841,B64-X63,0.6,-0.003473428
5842,B64-X63,0.6,0
5843,B64-X63,0.4,-0.00694927
5844,B64-X63,1.6,0.04173913
5845,B64-X63,6.1,0.156467316
5846,B64-X63,10.3,0.145934677
5847,B64-X63,14,0.128695652
5848,B64-X63,17.9,0.135510771
5849,B64-X63,21.5,0.12526096
5850,B64-X63,23,0.052119527
5851,B64-X63,23.1,0.003474635
5852,B64-X63,24.4,0.045217391
5853,B64-X63,24.8,0.013888889
5854,B64-X63,24.7,-0.003475843
5855,B64-X63,24.6,-0.003483107
5856,B64-X63,25.3,0.024297119
5857,B64-X63,25.8,0.017367141
5858,B64-X63,26.1,0.0104639
5859,B64-X63,26.1,0
5860,B64-X63,25.7,-0.013913043
5861,B64-X63,25.5,-0.006951686
5862,B64-X63,27,0.052246604
5863,B64-X63,27,0
5864,B64-X63,26.8,-0.006958942
5865,B64-X63,27.4,0.020833333
5866,B64-X63,27.6,0.006954103
5867,B64-X63,26.9,-0.024305556
5868,B64-X63,27.5,0.020847811
5869,B64-X63,28.4,0.031337047
5870,B64-X63,28,-0.013898541
5871,B64-X63,27.6,-0.013913043
5872,B64-X63,27.9,0.0104639
5873,B64-X63,28.2,0.010460251
5874,B64-X63,27.7,-0.017427675
5875,B64-X63,27.2,-0.017391304
5876,B64-X63,27.3,0.003473428
5877,B64-X63,26.9,-0.013956734
5878,B64-X63,26.2,-0.024347826
5879,B64-X63,28.1,0.066086957
5880,B64-X63,27.1,-0.034758429
5881,B64-X63,27.6,0.017403411
5882,B64-X63,27.7,0.003484321
5883,B64-X63,27.2,-0.017403411
5884,B64-X63,26.3,-0.031271716
5885,B64-X63,25.3,-0.034843206
5886,B64-X63,25.6,0.010427529
5887,B64-X63,25.5,-0.003477051
5888,B64-X63,26,0.017355085
5889,B64-X63,26.3,0.010442047
5890,B64-X63,26.4,0.003475843
5891,B64-X63,26.5,0.003501401
6066,B64-X66,0,
6067,B64-X66,0.2,0.014716703
6068,B64-X66,0.28,0.002793296
6069,B64-X66,0.09,-0.006648006
6070,B64-X66,0.12,0.001044932
6071,B64-X66,0.47,0.012267788
6072,B64-X66,0.3,-0.005946135
6073,B64-X66,0.64,0.011904762
6074,B64-X66,0.5,-0.005531411
6075,B64-X66,0.5,0
6076,B64-X66,0.6,0.003474635
6077,B64-X66,0.6,0
6078,B64-X66,0.7,0.003478261
6079,B64-X66,0.9,0.006954103
6080,B64-X66,0.8,-0.003484321
6081,B64-X66,0.9,0.003474635
6082,B64-X66,0.8,-0.003485535
6083,B64-X66,0.7,-0.003474635
6084,B64-X66,0.9,0.006956522
6085,B64-X66,0.5,-0.013903372
6086,B64-X66,0.2,-0.010449321
6087,B64-X66,0.3,0.003480682
6088,B64-X66,0.2,-0.003485535
6089,B64-X66,0.2,0
6090,B64-X66,0.2,0
6091,B64-X66,0.3,0.003479471
6092,B64-X66,0.3,0
6093,B64-X66,0.2,-0.003474635
6094,B64-X66,0.1,-0.003484321
6095,B64-X66,0.2,0.003483107
6096,B64-X66,0.4,0.006961364
6097,B64-X66,0.3,-0.003472222
6098,B64-X66,0.2,-0.003479471
6099,B64-X66,0.5,0.010442047
6100,B64-X66,0.6,0.003473428
6101,B64-X66,0.7,0.003483107
6102,B64-X66,0.6,-0.003484321
6103,B64-X66,0.6,0
6104,B64-X66,0.6,0
6105,B64-X66,0.7,0.003474635
6106,B64-X66,0.7,0
6107,B64-X66,0.6,-0.003477051
6108,B64-X66,0.7,0.003474635
6109,B64-X66,0.7,0
6110,B64-X66,0.7,0
6111,B64-X66,1,0.010438413
6112,B64-X66,1,0
6113,B64-X66,1.2,0.00694927
6114,B64-X66,1.3,0.003478261
6115,B64-X66,1.7,0.013888889
6116,B64-X66,1.7,0
6117,B64-X66,1.8,0.003483107
6118,B64-X66,1.9,0.003471017
6119,B64-X66,1.7,-0.006946857
6120,B64-X66,1.7,0
6121,B64-X66,1.7,0
6122,B64-X66,1.4,-0.010434783
6123,B64-X66,1.4,0
6124,B64-X66,1.6,0.006966214
6125,B64-X66,1.7,0.003478261
6126,B64-X66,1.5,-0.006958942
6127,B64-X66,1.6,0.003472222
6128,B64-X66,1.6,0
6129,B64-X66,2.4,0.027777778
6130,B64-X66,5.7,0.11466296
6131,B64-X66,8.8,0.107938719
6132,B64-X66,11.9,0.10771369
6133,B64-X66,15.2,0.114782609
6134,B64-X66,19.5,0.14998256
6135,B64-X66,23.7,0.146443515
6136,B64-X66,28.2,0.156849076
6137,B64-X66,28.3,0.003478261
6138,B64-X66,28,-0.010420285
6139,B64-X66,27.5,-0.017445918
6140,B64-X66,26.8,-0.024347826
6141,B64-X66,25.9,-0.031304348
6142,B64-X66,25.3,-0.020855057
6143,B64-X66,25,-0.010442047
6144,B64-X66,26.5,0.052264808
6145,B64-X66,26.4,-0.003480682
6146,B64-X66,26,-0.013898541
6147,B64-X66,25.7,-0.010452962
6148,B64-X66,25,-0.0243309
6149,B64-X66,24.9,-0.003477051
6150,B64-X66,24.6,-0.010413051
6151,B64-X66,24,-0.020884093
6152,B64-X66,24,0
6410,B64-X70,0,
6411,B64-X70,0.26,0.008724832
6412,B64-X70,0.35,0.003107735
6413,B64-X70,0.48,0.004739336
6414,B64-X70,0.6,0.004307251
6415,B64-X70,0.75,0.005343783
6416,B64-X70,0.69,-0.002144389
6417,B64-X70,0.62,-0.002514368
6418,B64-X70,0.46,-0.005702067
6419,B64-X70,0.31,-0.005213764
6420,B64-X70,0.25,-0.002088409
6421,B64-X70,0.22,-0.002542373
6422,B64-X70,0.33,0.004403523
6423,B64-X70,0.56,0.011935651
6424,B64-X70,0.79,0.011991658
6425,B64-X70,0.62,-0.005900729
6426,B64-X70,0.51,-0.003803596
6427,B64-X70,0.44,-0.002439024
6428,B64-X70,1.56,0.118018967
6429,B64-X70,2.28,0.074688797
6430,B64-X70,3.69,0.148109244
6431,B64-X70,5.27,0.165445026
6432,B64-X70,6.92,0.170807453
6433,B64-X70,8.53,0.167185877
6434,B64-X70,9.95,0.148070907
6435,B64-X70,11.46,0.158280922
6436,B64-X70,12.79,0.137966805
6437,B64-X70,14.28,0.156512605
6438,B64-X70,15.83,0.160455487
6439,B64-X70,17.36,0.159375
6440,B64-X70,18.43,0.110880829
6441,B64-X70,19.49,0.111932418
6442,B64-X70,20.52,0.108193277
6443,B64-X70,21.57,0.109147609
6444,B64-X70,22.6,0.10876452
6445,B64-X70,23.64,0.107772021
6446,B64-X70,25.23,0.164937759
6447,B64-X70,27.04,0.186597938
6448,B64-X70,28.74,0.176348548
6449,B64-X70,29.91,0.121243523
6450,B64-X70,31.03,0.116303219
6451,B64-X70,32.17,0.118012422
6452,B64-X70,35.33,0.109798471
6453,B64-X70,35.17,-0.005590496
6454,B64-X70,35.02,-0.005257624
6455,B64-X70,34.94,-0.002783577
6456,B64-X70,34.59,-0.011876485
6457,B64-X70,34.23,-0.012530456
6458,B64-X70,36.12,0.065556712
6459,B64-X70,35.82,-0.010504202
6460,B64-X70,35.38,-0.015315002
6461,B64-X70,35.07,-0.01077886
6462,B64-X70,34.72,-0.012280702
6463,B64-X70,36.65,0.067200557
6464,B64-X70,36.06,-0.020679986
6465,B64-X70,35.51,-0.019050918
6466,B64-X70,35.39,-0.004176819
6467,B64-X70,35.24,-0.005215577
6468,B64-X70,35.06,-0.006298111
6469,B64-X70,35.16,0.00348675
6470,B64-X70,37.97,0.096863151
6471,B64-X70,38.16,0.006560773
6472,B64-X70,38.14,-0.000690846
6473,B64-X70,38.03,-0.00385289
6474,B64-X70,37.92,-0.003823427
6475,B64-X70,37.9,-0.00069808
6476,B64-X70,37.89,-0.000346981
6477,B64-X70,37.88,-0.000352113
6478,B64-X70,37.93,0.001741553
6479,B64-X70,37.97,0.001402525
6480,B64-X70,37.82,-0.005206526
6481,B64-X70,37.66,-0.005542085
6482,B64-X70,38.35,0.024016707
6483,B64-X70,39.02,0.02337753
6484,B64-X70,37.09,-0.064961292
6485,B64-X70,37.25,0.005542085
6486,B64-X70,37.4,0.005252101
6487,B64-X70,38.23,0.028980447
6488,B64-X70,38.32,0.003131524
6489,B64-X70,38.76,0.01533101
6490,B64-X70,36.78,-0.069061737
6491,B64-X70,36.85,0.002425502
6492,B64-X70,36.78,-0.002442428
6493,B64-X70,36.71,-0.002442428
6494,B64-X70,36.65,-0.002088409
6495,B64-X70,36.93,0.009756098
6496,B64-X70,37.22,0.01017187
6497,B64-X70,37.95,0.025417827
6498,B64-X70,38.72,0.026643599
6499,B64-X70,37.92,-0.027894003
6500,B64-X70,37.88,-0.001395673
6501,B64-X70,37.97,0.003131524
6502,B64-X70,37.66,-0.010797631
6503,B64-X70,37.52,-0.004845967
6504,B64-X70,37.4,-0.004152249
6505,B64-X70,37.05,-0.012199373
6506,B64-X70,36.65,-0.013884068
6507,B64-X70,36.74,0.003145753
6508,B64-X70,36.78,0.001390337
6509,B64-X70,36.56,-0.007751938
6510,B64-X70,36.3,-0.009056078
6511,B64-X70,36.34,0.001388889
6512,B64-X70,36.04,-0.010596962
6513,B64-X70,35.95,-0.00315568
6514,B64-X70,35.38,-0.019668737
6515,B64-X70,35.82,0.015315002
6516,B64-X70,35.33,-0.017168886
6517,B64-X70,34.83,-0.017618041
6518,B64-X70,34.28,-0.019170443
6519,B64-X70,33.53,-0.02587099
6520,B64-X70,32.76,-0.026533425
6521,B64-X70,32.08,-0.023685127
6522,B64-X70,29,-0.106944444
6523,B64-X70,27.38,-0.056663169
6524,B64-X70,29.14,0.061153579
6525,B64-X70,29.79,0.022468026
6526,B64-X70,28.43,-0.047222222
6527,B64-X70,27.51,-0.032033426
6528,B64-X70,27.2,-0.010801394
6529,B64-X70,26.89,-0.010820244
6530,B64-X70,25.97,-0.032033426
6531,B64-X70,26.37,0.014005602
6532,B64-X70,26.5,0.004506066
6533,B64-X70,27.05,0.019163763
6534,B64-X70,27.15,0.019417476
6535,B64-X70,27.6,0.019189765
6536,B64-X70,28.19,0.020507473
6537,B64-X70,28.78,0.020457698
6538,B64-X70,28.93,0.007878151
6539,B64-X70,29.16,0.011997913
6540,B64-X70,29.53,0.015289256
6541,B64-X70,29.53,0
6542,B64-X71,0,
6543,B64-X71,0.52,0.017449664
6544,B64-X71,0.62,0.003453039
6545,B64-X71,0.66,0.001458257
6546,B64-X71,0.7,0.00143575
6547,B64-X71,1.41,0.025293908
6548,B64-X71,2.28,0.09375
6549,B64-X71,3.17,0.095187166
6550,B64-X71,3.96,0.084491979
6551,B64-X71,5.13,0.126077586
6552,B64-X71,6.29,0.124731183
6553,B64-X71,7.43,0.123110151
6554,B64-X71,8.87,0.155507559
6555,B64-X71,10.26,0.148187633
6556,B64-X71,11.65,0.147558386
6557,B64-X71,13.16,0.155030801
6558,B64-X71,14.66,0.158730159
6559,B64-X71,16.17,0.158947368
6560,B64-X71,17.85,0.175365344
6561,B64-X71,19.5,0.171161826
6562,B64-X71,20.96,0.151138716
6563,B64-X71,22.63,0.173236515
6564,B64-X71,24.36,0.179274611
6565,B64-X71,25.88,0.158004158
6566,B64-X71,27.67,0.185492228
6567,B64-X71,29.46,0.186458333
6568,B64-X71,31.09,0.170146138
6569,B64-X71,32.71,0.167701863
6570,B64-X71,34.3,0.166841553
6571,B64-X71,35.75,0.150727651
6572,B64-X71,37.32,0.1637122
6573,B64-X71,38.87,0.159793814
6574,B64-X71,40.36,0.154724818
6575,B64-X71,41.53,0.040766551
6576,B64-X71,41.5,-0.002840909
6577,B64-X71,41.57,0.002465657
6578,B64-X71,41.18,-0.013522885
6579,B64-X71,40.78,-0.013903372
6580,B64-X71,40.67,-0.003822099
6581,B64-X71,40.73,0.002094972
6582,B64-X71,40.78,0.001739736
6583,B64-X71,40.48,-0.010351967
6584,B64-X71,40.17,-0.010711818
6585,B64-X71,39.4,-0.026754691
6586,B64-X71,39.21,-0.006638714
6587,B64-X71,39.02,-0.006659657
6588,B64-X71,38.56,-0.016005567
6589,B64-X71,38.1,-0.015451797
6590,B64-X71,37.49,-0.021232162
6591,B64-X71,37.13,-0.012486993
6592,B64-X71,37.31,0.006302521
6593,B64-X71,37,-0.010790115
6594,B64-X71,36.87,-0.004520167
6595,B64-X71,36.72,-0.005263158
6596,B64-X71,36.56,-0.005571031
6597,B64-X71,38.36,0.063091483
6598,B64-X71,37.79,-0.019743679
6599,B64-X71,37.4,-0.013574661
6600,B64-X71,37.27,-0.004520167
6601,B64-X71,36.91,-0.012596221
6602,B64-X71,36.57,-0.011854951
6603,B64-X71,36.35,-0.007583592
6604,B64-X71,36.12,-0.007941989
